1,2.575,0.0108947308
2.575,6.4,0.0365462814
6.4,11.325,0.0415528429
11.325,17,0.0564431171
17,23,0.0801332926
23,29,0.0776401221
29,35,0.0897015677
35,41,0.0484439421
41,47,0.0454371743
47,53,0.0405701333
53,59,0.0352339799
59,65,0.0431118328
65,71,0.0274268983
71,77,0.0250995347
77,83,0.0240035911
83,89,0.0320452289
89,95,0.0203558379
95,101,0.0189100821
101,107,0.0194701861
107,113,0.0186310411
113,119,0.0227600389
119,125,0.0148922962
125,131,0.0144474483
131,137,0.0136244796
137,143,0.0134647387
143,149,0.017282343
149,155,0.0124941614
155,161,0.0120189829
161,167,0.0122110763
167,173,0.0168152526
173,179,0.0113739533
179,185,0.0108623782
185,191,0.0108603562
191,197,0.0112485871
197,203,0.0139924902
