1,2.575,0.0329503207
2.575,6.4,0.0546289553
6.4,11.325,0.0673993865
11.325,17,0.0636996732
17,23,0.0900330446
23,29,0.0940497615
29,35,0.1106824205
35,41,0.0595746132
41,47,0.0546169172
47,53,0.0465232927
53,59,0.0388229133
59,65,0.0438789207
65,71,0.0261106664
71,77,0.0218090474
77,83,0.0195539077
83,89,0.0237150819
89,95,0.0144858622
95,101,0.0128386472
101,107,0.0126580755
107,113,0.0112556353
113,119,0.0133783559
119,125,0.0084206598
125,131,0.0081798976
131,137,0.0074455727
137,143,0.0070422959
143,149,0.0092833912
149,155,0.0063099774
155,161,0.0059187387
161,167,0.0054211634
167,173,0.0077706017
173,179,0.0046085908
179,185,0.004381873
185,191,0.0040789138
191,197,0.0038100627
197,203,0.0046627623
